TOA5	Tower3	CR1000	67786	CR1000.Std.27.04	CPU:106330-3.CR1	38136	ThreeHr
TIMESTAMP	RECORD	TotPrec					
TS	RN						
		Tot					
3/21/15 6:00	236	0					
3/21/15 9:00	237	0					
3/21/15 12:00	238	0					
3/21/15 15:00	239	0					
3/21/15 18:00	240	0					
3/21/15 21:00	241	0					
40623	242	0					
3/22/15 3:00	243	0					
3/22/15 6:00	244	0					
3/22/15 9:00	245	0					
3/22/15 12:00	246	0					
3/22/15 15:00	247	0					
3/22/15 18:00	248	0					
3/22/15 21:00	249	0					
40624	250	0					
3/23/15 3:00	251	0					
3/23/15 6:00	252	0					
3/23/15 9:00	253	0					
3/23/15 12:00	254	0					
3/23/15 15:00	255	0					
3/23/15 18:00	256	0					
3/23/15 21:00	257	0					
40625	258	0					
3/24/15 3:00	259	0					
3/24/15 6:00	260	0					
3/24/15 9:00	261	0					
3/24/15 12:00	262	0					
3/24/15 15:00	263	0					
3/24/15 18:00	264	0					
3/24/15 21:00	265	0					
40626	266	0					
3/25/15 3:00	267	0					
3/25/15 6:00	268	0					
3/25/15 9:00	269	0					
3/25/15 12:00	270	0					
3/25/15 15:00	271	0					
3/25/15 18:00	272	0					
3/25/15 21:00	273	0					
40627	274	0					
3/26/15 3:00	275	0					
3/26/15 6:00	276	0					
3/26/15 9:00	277	0					
3/26/15 12:00	278	0					
3/26/15 15:00	279	0					
3/26/15 18:00	280	0					
3/26/15 21:00	281	0					
40628	282	0					
3/27/15 3:00	283	0					
3/27/15 6:00	284	0					
3/27/15 9:00	285	0					
3/27/15 12:00	286	0					
3/27/15 15:00	287	0					
3/27/15 18:00	288	0					
3/27/15 21:00	289	0					
40629	290	0					
3/28/15 3:00	291	0					
3/28/15 6:00	292	0					
3/28/15 9:00	293	0					
3/28/15 12:00	294	0					
3/28/15 15:00	295	0					
3/28/15 18:00	296	0					
3/28/15 21:00	297	0					
40630	298	0					
3/29/15 3:00	299	0					
3/29/15 6:00	300	0					
3/29/15 9:00	301	0					
3/29/15 12:00	302	0					
3/29/15 15:00	303	0					
3/29/15 18:00	304	0					
3/29/15 21:00	305	0					
40631	306	0					
3/30/15 3:00	307	0					
3/30/15 6:00	308	0					
3/30/15 9:00	309	0					
3/30/15 12:00	310	0					
3/30/15 15:00	311	0					
3/30/15 18:00	312	0					
3/30/15 21:00	313	0					
40632	314	0					
3/31/15 3:00	315	0					
3/31/15 6:00	316	0					
3/31/15 9:00	317	0					
3/31/15 12:00	318	0					
3/31/15 15:00	319	0					
3/31/15 18:00	320	0					
3/31/15 21:00	321	0					
40633	322	0					
4/1/15 3:00	323	0					
4/1/15 6:00	324	0					
4/1/15 9:00	325	0					
4/1/15 12:00	326	0					
4/1/15 15:00	327	0					
4/1/15 18:00	328	0					
4/1/15 21:00	329	0					
40634	330	0					
4/2/15 3:00	331	0					
4/2/15 6:00	332	0					
4/2/15 9:00	333	0					
4/2/15 12:00	334	0					
4/2/15 15:00	335	0					
4/2/15 18:00	336	0					
4/2/15 21:00	337	0					
40635	338	0					
4/3/15 3:00	339	0					
4/3/15 6:00	340	0					
4/3/15 9:00	341	0					
4/3/15 12:00	342	0					
4/3/15 15:00	343	0					
4/3/15 18:00	344	0					
4/3/15 21:00	345	0					
40636	346	0					
4/4/15 3:00	347	0					
4/4/15 6:00	348	0					
4/4/15 9:00	349	0					
4/4/15 12:00	350	0					
4/4/15 15:00	351	0					
4/4/15 18:00	352	0					
4/4/15 21:00	353	0					
40637	354	0					
4/5/15 3:00	355	0					
4/5/15 6:00	356	0					
4/5/15 9:00	357	0					
4/5/15 12:00	358	0					
4/5/15 15:00	359	0					
4/5/15 18:00	360	0					
4/5/15 21:00	361	0					
40638	362	0					
4/6/15 3:00	363	0					
4/6/15 6:00	364	0					
4/6/15 9:00	365	0					
4/6/15 12:00	366	0					
4/6/15 15:00	367	0					
4/6/15 18:00	368	0					
4/6/15 21:00	369	0					
40639	370	0					
4/7/15 3:00	371	0					
4/7/15 6:00	372	0					
4/7/15 9:00	373	0					
4/7/15 12:00	374	0					
4/7/15 15:00	375	0					
4/7/15 18:00	376	0					
4/7/15 21:00	377	0					
40640	378	0					
4/8/15 3:00	379	0					
4/8/15 6:00	380	0					
4/8/15 9:00	381	0					
4/8/15 12:00	382	0					
4/8/15 15:00	383	0					
4/8/15 18:00	384	0					
4/8/15 21:00	385	0					
40641	386	0					
4/9/15 3:00	387	0					
4/9/15 6:00	388	0					
4/9/15 9:00	389	0					
4/9/15 12:00	390	0					
4/9/15 15:00	391	0					
4/9/15 18:00	392	0					
4/9/15 21:00	393	0					
40642	394	0					
4/10/15 3:00	395	0					
4/10/15 6:00	396	0					
4/10/15 9:00	397	0					
4/10/15 12:00	398	0					
4/10/15 15:00	399	0					
4/10/15 18:00	400	0					
4/10/15 21:00	401	0					
40643	402	0					
4/11/15 3:00	403	0					
4/11/15 6:00	404	0					
4/11/15 9:00	405	0					
4/11/15 12:00	406	0					
4/11/15 15:00	407	0					
4/11/15 18:00	408	0					
4/11/15 21:00	409	0					
40644	410	0					
4/12/15 3:00	411	0					
4/12/15 6:00	412	0					
4/12/15 9:00	413	0					
4/12/15 12:00	414	0					
4/12/15 15:00	415	0.225					
4/12/15 18:00	416	0.025					
4/12/15 21:00	417	0					
40645	418	0.025					
4/13/15 3:00	419	0.2					
4/13/15 6:00	420	0.025					
4/13/15 9:00	421	0.05					
4/13/15 12:00	422	0					
4/13/15 15:00	423	0					
4/13/15 18:00	424	0					
4/13/15 21:00	425	0					
40646	426	0					
4/14/15 3:00	427	0					
4/14/15 6:00	428	0					
4/14/15 9:00	429	0					
4/14/15 12:00	430	0					
4/14/15 15:00	431	0					
4/14/15 18:00	432	0					
4/14/15 21:00	433	0					
40647	434	0					
4/15/15 3:00	435	0					
4/15/15 6:00	436	0					
4/15/15 9:00	437	0					
4/15/15 12:00	438	0					
4/15/15 15:00	439	0					
4/15/15 18:00	440	0					
4/15/15 21:00	441	0					
40648	442	0					
4/16/15 3:00	443	0					
4/16/15 6:00	444	0					
4/16/15 9:00	445	0					
4/16/15 12:00	446	0					
4/16/15 15:00	447	0					
4/16/15 18:00	448	0					
4/16/15 21:00	449	0					
40649	450	0					
4/17/15 3:00	451	0					
4/17/15 6:00	452	0					
4/17/15 9:00	453	0					
4/17/15 12:00	454	0					
4/17/15 15:00	455	0					
4/17/15 18:00	456	0					
4/17/15 21:00	457	0					
40650	458	0					
4/18/15 3:00	459	0					
4/18/15 6:00	460	0					
4/18/15 9:00	461	0					
4/18/15 12:00	462	0					
4/18/15 15:00	463	0					
4/18/15 18:00	464	0					
4/18/15 21:00	465	0					
40651	466	0					
4/19/15 3:00	467	0					
4/19/15 6:00	468	0					
4/19/15 9:00	469	0					
4/19/15 12:00	470	0					
4/19/15 15:00	471	0					
4/19/15 18:00	472	0					
4/19/15 21:00	473	0					
40652	474	0					
4/20/15 3:00	475	0					
4/20/15 6:00	476	0					
4/20/15 9:00	477	0					
4/20/15 12:00	478	0					
4/20/15 15:00	479	0					
4/20/15 18:00	480	0					
4/20/15 21:00	481	0					
40653	482	0					
4/21/15 3:00	483	0					
4/21/15 6:00	484	0					
4/21/15 9:00	485	0					
4/21/15 12:00	486	0					
4/21/15 15:00	487	0					
4/21/15 18:00	488	0					
4/21/15 21:00	489	0					
40654	490	0					
4/22/15 3:00	491	0					
4/22/15 6:00	492	0					
4/22/15 9:00	493	0					
4/22/15 12:00	494	0					
4/22/15 15:00	495	0					
4/22/15 18:00	496	0					
4/22/15 21:00	497	0					
40655	498	0					
4/23/15 3:00	499	0					
4/23/15 6:00	500	0					
4/23/15 9:00	501	0					
4/23/15 12:00	502	0					
4/23/15 15:00	503	0					
4/23/15 18:00	504	0					
4/23/15 21:00	505	0					
40656	506	0.075					
4/24/15 3:00	507	0					
4/24/15 6:00	508	0.125					
4/24/15 9:00	509	0					
4/24/15 12:00	510	0					
4/24/15 15:00	511	0					
4/24/15 18:00	512	0					
4/24/15 21:00	513	0					
40657	514	0					
4/25/15 3:00	515	0					
4/25/15 6:00	516	0					
4/25/15 9:00	517	0					
4/25/15 12:00	518	0					
4/25/15 15:00	519	0					
4/25/15 18:00	520	0					
4/25/15 21:00	521	0					
40658	522	0					
4/26/15 3:00	523	0					
4/26/15 6:00	524	0					
4/26/15 9:00	525	0					
4/26/15 12:00	526	0.025					
4/26/15 15:00	527	0					
4/26/15 18:00	528	0					
4/26/15 21:00	529	0					
40659	530	0					
4/27/15 3:00	531	0					
4/27/15 6:00	532	0					
4/27/15 9:00	533	0					
4/27/15 12:00	534	0					
4/27/15 15:00	535	0					
4/27/15 18:00	536	0					
4/27/15 21:00	537	0					
40660	538	0					
4/28/15 3:00	539	0					
4/28/15 6:00	540	0					
4/28/15 9:00	541	0					
4/28/15 12:00	542	0					
4/28/15 15:00	543	0					
