"TOA5","Tower1","CR1000","67668","CR1000.Std.27.04","CPU:106330-1.CR1","28471","SixHr"
"TIMESTAMP","RECORD","MaxAT","MinAT","TotPrec"
"TS","RN","Deg_C","Deg_C",""
"","","Max","Min","Tot"
"2015-07-17 12:00:00",682,33.4,24.1,0
"2015-07-17 18:00:00",683,36.1,31.1,0
"2015-07-17 24:00:00",684,34.4,26.5,0
"2015-07-18 06:00:00",685,26.5,20.5,0
"2015-07-18 12:00:00",686,35.6,21.1,0
"2015-07-18 18:00:00",687,38.2,33.9,0
"2015-07-18 24:00:00",688,35.8,25.2,0
"2015-07-19 06:00:00",689,27.9,24.3,0
"2015-07-19 12:00:00",690,34.8,24.3,0
"2015-07-19 18:00:00",691,36.7,32.2,0
"2015-07-19 24:00:00",692,32.9,23.6,0
"2015-07-20 06:00:00",693,23.6,19.6,0
"2015-07-20 12:00:00",694,33.9,19.9,0
"2015-07-20 18:00:00",695,36.4,28.9,0
"2015-07-20 24:00:00",696,29,23.4,0.75
"2015-07-21 06:00:00",697,23.9,19.7,0
"2015-07-21 12:00:00",698,32,20.4,0
"2015-07-21 18:00:00",699,35.8,27.6,0
"2015-07-21 24:00:00",700,29.8,21.6,0
"2015-07-22 06:00:00",701,21.6,19,0
"2015-07-22 12:00:00",702,30.2,19.4,0
"2015-07-22 18:00:00",703,33.7,25.9,0
"2015-07-22 24:00:00",704,26.5,23.4,0
"2015-07-23 06:00:00",705,23.6,20,0
"2015-07-23 12:00:00",706,33.3,20.4,0
"2015-07-23 18:00:00",707,36.4,33.3,0
"2015-07-23 24:00:00",708,34.7,25.9,0
"2015-07-24 06:00:00",709,27.2,22.9,0
"2015-07-24 12:00:00",710,35.5,22.9,0
"2015-07-24 18:00:00",711,40,34.9,0
"2015-07-24 24:00:00",712,37,27.1,0
"2015-07-25 06:00:00",713,29.4,22,0
"2015-07-25 12:00:00",714,37.6,22.8,0
"2015-07-25 18:00:00",715,39.2,34,0
"2015-07-25 24:00:00",716,34.1,27.2,0
"2015-07-26 06:00:00",717,28.5,21.4,0
"2015-07-26 12:00:00",718,34.4,21.8,0
"2015-07-26 18:00:00",719,36.4,32.7,0
"2015-07-26 24:00:00",720,35.5,25.2,0
"2015-07-27 06:00:00",721,26.2,21.2,0
"2015-07-27 12:00:00",722,34.9,23,0
"2015-07-27 18:00:00",723,37.2,34.5,0
"2015-07-27 24:00:00",724,35.7,27,0
"2015-07-28 06:00:00",725,27.2,24.2,0
"2015-07-28 12:00:00",726,36.1,24.9,0
"2015-07-28 18:00:00",727,38.8,29.6,0
"2015-07-28 24:00:00",728,30.9,23.7,0
"2015-07-29 06:00:00",729,23.8,21.3,0
"2015-07-29 12:00:00",730,32.2,21.3,0
"2015-07-29 18:00:00",731,34.7,22.7,1.95
"2015-07-29 24:00:00",732,24,22,0.025
"2015-07-30 06:00:00",733,22.4,19.7,0.075
"2015-07-30 12:00:00",734,25,20.1,0
"2015-07-30 18:00:00",735,34.4,25,0
"2015-07-30 24:00:00",736,31.7,24.8,0
"2015-07-31 06:00:00",737,25.7,22.2,0
"2015-07-31 12:00:00",738,31.6,22,0
"2015-07-31 18:00:00",739,37.4,28.9,0
"2015-07-31 24:00:00",740,29.5,25.1,0
"2015-08-01 06:00:00",741,25.5,22.4,0
"2015-08-01 12:00:00",742,33.7,22.5,0
"2015-08-01 18:00:00",743,36.3,31.9,0
"2015-08-01 24:00:00",744,35.1,24.3,0
"2015-08-02 06:00:00",745,25.4,20.9,0
"2015-08-02 12:00:00",746,32.4,20.7,0
"2015-08-02 18:00:00",747,36.7,29.4,0
"2015-08-02 24:00:00",748,29.4,22.9,0
"2015-08-03 06:00:00",749,23.7,20.9,0
