"TOA5","Tower2","CR1000","67785","CR1000.Std.27.04","CPU:106330-4(No 212).CR1","60482","SixHr"
"TIMESTAMP","RECORD","MaxAT","MinAT","TotPrec"
"TS","RN","Deg_C","Deg_C",""
"","","Max","Min","Tot"
"2015-03-19 06:00:00",117,9.7,6.6,0
"2015-03-19 12:00:00",118,18.4,6.9,0
"2015-03-19 18:00:00",119,22.2,18.4,0
"2015-03-19 24:00:00",120,18.6,9.6,0
"2015-03-20 06:00:00",121,10.8,4.8,0
"2015-03-20 12:00:00",122,18.6,3,0
"2015-03-20 18:00:00",123,23.3,17.4,0
"2015-03-20 24:00:00",124,17.7,10.9,0
"2015-03-21 06:00:00",125,10.9,7.7,0
"2015-03-21 12:00:00",126,16.7,7.1,0
"2015-03-21 18:00:00",127,18.1,16.3,0
"2015-03-21 24:00:00",128,16.3,10.3,0
"2015-03-22 06:00:00",129,10.4,3.4,0
"2015-03-22 12:00:00",130,22.4,3.3,0
"2015-03-22 18:00:00",131,27.4,22.4,0
"2015-03-22 24:00:00",132,23.4,11.9,0
"2015-03-23 06:00:00",133,13.9,7.8,0
"2015-03-23 12:00:00",134,26.7,6.5,0
"2015-03-23 18:00:00",135,28.6,23.5,0
"2015-03-23 24:00:00",136,23.7,16.1,0
"2015-03-24 06:00:00",137,20.6,3.7,0
"2015-03-24 12:00:00",138,26.7,2.6,0
"2015-03-24 18:00:00",139,27.9,23.7,0
"2015-03-24 24:00:00",140,23.8,15.5,0
"2015-03-25 06:00:00",141,17.2,9.2,0
"2015-03-25 12:00:00",142,24.3,11.1,0
"2015-03-25 18:00:00",143,27.1,21,0
"2015-03-25 24:00:00",144,21,9.6,0
"2015-03-26 06:00:00",145,9.7,4.6,0
"2015-03-26 12:00:00",146,15.5,4.7,0
"2015-03-26 18:00:00",147,22.4,15.5,0
"2015-03-26 24:00:00",148,18.4,5.7,0
"2015-03-27 06:00:00",149,8.3,2.3,0
"2015-03-27 12:00:00",150,22,2.3,0
"2015-03-27 18:00:00",151,27.1,21.9,0
"2015-03-27 24:00:00",152,24,13.4,0
"2015-03-28 06:00:00",153,13.6,3.8,0
"2015-03-28 12:00:00",154,25.4,4,0
"2015-03-28 18:00:00",155,33.1,23.9,0
